"id","user_id","role","content","source","metadata","created_at"
"02b95d5a-14b8-462d-a4f8-66b7476fdd53","003f1801-9ae3-436f-8de1-e83754284a0e","user","Что такое холера","user","{}","2026-04-06 17:18:14.742036+03"
"037343e3-3f2a-4b7d-94d6-844bad1bb251","003f1801-9ae3-436f-8de1-e83754284a0e","user","Как в Болгарии?","user","{}","2026-04-06 19:35:43.49179+03"
"085840b7-b54b-40a9-973c-7b678a2f8a1c","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","В Болгарии медицинская система включает как государственные, так и частные учреждения. Если вам требуется медицинская помощь, вы можете обратиться в местную больницу или клинику. Для непредвиденных ситуаций рекомендуется сохранять контактные данные местных служб экстренной помощи. 

Если у вас есть вопросы о здоровье или медицинских услугах, настоятельно рекомендую обратиться к лицензированному медицинскому специалисту для получения точной информации и рекомендаций. Также не забудьте уточнить, есть ли у вас медицинская страховка, которая может покрыть расходы на лечение в Болгарии.","llm","{}","2026-04-06 19:35:51.16172+03"
"1809c699-89bc-4eec-b7df-889884cd08a8","fbf23f65-b7d4-42a7-9cc7-a65b910068da","user","Более подробно можно????","user","{}","2026-04-06 20:28:21.583276+03"
"19cc5f8b-36b3-4da6-8e88-89a40407fcdd","b5ada9ee-841a-4b7e-95a5-6d702b6297a4","user","hi","llm","{}","2026-04-06 20:50:00.331523+03"
"1bad831f-0fbb-4463-b6ad-49e4983aa1c5","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","Этот сервис предназначен для предоставления информации о здоровье и медицинских вопросах. Я могу помочь вам понять определённые симптомы, болезни или медицинские процедуры, а также предоставить общие рекомендации по здоровью. Однако я не даю окончательных диагнозов и не прописываю лечение.

Если у вас есть конкретные вопросы о здоровье, я постараюсь дать вам полезную информацию. Но, пожалуйста, помните, что для получения личных медицинских советов всегда лучше обратиться к лицензированному специалисту. Если у вас есть неотложные симптомы, я рекомендую незамедлительно обращаться за помощью к местным службам экстренной помощи.","llm","{}","2026-04-06 17:36:18.323142+03"
"26a07d01-4afd-4df5-9a72-4712a2540336","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","Я использую заранее обученные модели и данные для формирования ответов, однако ни в коем случае не заменяю мнения или рекомендации квалифицированных медицинских специалистов. Если у вас есть конкретный медицинский вопрос, я рекомендую обратиться к врачу или медицинскому работнику для получения профессиональной помощи.","llm","{}","2026-04-06 17:38:48.281143+03"
"2da92afa-2487-4def-ba83-731990b630c4","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","Бесплатный лимит ответов исчерпан (см. правила сервиса в настройках лимитов).

Вы можете оформить подписку или пакет ответов (когда оплата будет подключена), либо вернуться позже — в зависимости от правил сервиса.
","billing_block","{}","2026-04-06 20:25:30.18089+03"
"360d6525-ed6f-490b-9d1e-7921d546d24e","6875fbb7-f19b-4acd-8021-461e257add36","user","hi","llm","{}","2026-04-06 16:31:33.570299+03"
"4352f1e9-0757-4729-bd0d-ec1c4b5f869e","003f1801-9ae3-436f-8de1-e83754284a0e","user","Что такое холера?","user","{}","2026-04-06 17:47:26.182499+03"
"513f065c-4a2e-4b25-87d1-3008361487fd","003f1801-9ae3-436f-8de1-e83754284a0e","user","Что такое сервис medvopros","user","{}","2026-04-06 17:35:25.533383+03"
"564fb2ac-5391-40bd-8536-171eac0fcdb0","f5a97f44-9b86-4a50-b202-6cefd3cf79e7","user","hi","llm","{}","2026-04-06 14:48:45.798233+03"
"58115c02-e288-4db0-b28a-bb7c622728ec","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","Medvopros — это онлайн-сервис, предоставляющий пользователям возможность задавать вопросы о здоровье и получать ответы от врачей и медицинских специалистов. Такой сервис может помочь людям получить общую информацию по различным медицинским вопросам, однако важно помнить, что полученные ответы не заменяют консультацию с квалифицированным врачом. Если у вас есть конкретные вопросы о здоровье или симптомы, настоятельно рекомендую обратиться к лицензированному специалисту для получения профессиональной помощи.","llm","{}","2026-04-06 17:35:32.724263+03"
"62c69a40-530c-4ba7-8ce2-73fc9512eb62","003f1801-9ae3-436f-8de1-e83754284a0e","user","Какой Каркас backend","user","{}","2026-04-06 17:43:19.841391+03"
"632263f4-7b9b-481f-af80-cebbcae2d8bf","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","Сейчас не удалось получить ответ. Попробуйте позже или переформулируйте вопрос короче.
","error","{""kind"": ""llm"", ""detail"": ""LLM API error (HTTP 400).""}","2026-04-06 17:18:20.385499+03"
"64e04d41-722c-4911-9fb4-2d1271ceae2e","003f1801-9ae3-436f-8de1-e83754284a0e","user","Привет!!!!","user","{}","2026-04-06 17:25:12.1409+03"
"68519645-bbeb-41ff-aa79-7f440278ae9e","003f1801-9ae3-436f-8de1-e83754284a0e","user","Ты кто?","user","{}","2026-04-06 17:34:39.561175+03"
"6c0f1e1c-5ab1-416d-89bb-a05a91faaad1","003f1801-9ae3-436f-8de1-e83754284a0e","assistant","Холера — это острое инфекционное заболевание, вызванное бактериями Vibrio cholerae. Инфекция обычно передается через contaminated water and food, особенно в местах с плохими санитарными условиями. Основные симптомы включают сильную диарею, рвоту и обезвоживание, что может быть опасно для жизни, если не вовремя обратиться за медицинской помощью.

Если вы или кто-то из ваших близких испытываете симптомы, напоминающие холеру, настоятельно рекомендую обратиться к квалифицированному специалисту в области здравоохранения для диагноза и получения необходимого лечения.","llm","{}","2026-04-06 17:47:31.946272+03"
"6e953cfa-45fd-4313-b672-676beb8e17b5","300b24bd-3e94-4f8d-be9f-fd5d017a4ade","user","hi","llm","{}","2026-04-06 14:49:38.202145+03"
"8418f127-2fd4-41c8-9dfb-7aa463c988a8","003f1801-9ae3-436f-8de1-e83754284a0e","user","А откуда ты взял ответ? Из твоей векторной базы или от ЛЛМ?","user","{}","2026-04-06 17:38:44.55199+03"
